,w,b
0,0.0018283052554481927,0.8273868110236324
1,0.004054316974913208,0.6213090551181186
2,0.0005092931697494585,0.8890255905511886
3,0.0010500595129100398,0.9088336614173347
4,0.004720976011719724,0.5236220472441034
5,0.0009842519685043793,0.7177657480315057
6,0.0023662104010259144,0.7926919291338692
7,0.006180186778978469,0.3982529527559141
8,0.000715299395715352,0.9382381889763827
9,0.00270383171580324,0.7396653543307166
10,-0.000609435085149241,0.578371062992126
11,0.0009928355612527362,0.9125246062992192
12,0.00465802966489659,0.44955708661417937
13,0.0024520463285117033,0.7402805118110363
14,0.0014792391503390956,0.8499015748031575
15,0.0013304568760303948,0.8594980314960703
16,0.0015135735213334112,0.8476870078740208
17,0.0015192959164991304,0.8629429133858348
18,0.0025893838124888546,0.4970472440944968
19,0.0014334599890133415,0.8684793307086693
20,0.0005722395165723704,0.947465551181111
21,-9.441952023439039e-05,0.8264025590551182
22,0.0016194378318993286,0.6611712598425321
23,0.0015450466947449781,0.8378444881889868
24,0.0023747939937743823,0.5655757874015838
25,0.0014563495696761075,0.8513779527559124
26,0.0017768036989563862,0.79945866141733
27,0.001685245376304767,0.8522391732283516
28,0.002772500457791982,0.6102362204724522
29,0.0013647912470247103,0.7010334645669378
30,0.0014649331624247974,0.8430118110236301
31,0.0005121543673324291,0.9435285433070941
32,0.001739608130379433,0.8252952755905598
33,0.000357649697857898,0.9691190944881984
34,0.0014019868156019966,0.8783218503937082
35,0.0019084187877682623,0.8065944881889862
36,0.0021487593847283604,0.8067175196850473
37,0.002695248123054772,0.7636564960629983
38,0.0021859549533055356,0.7965059055118173
39,0.0024119895623515575,0.49286417322835463
40,0.002120147408899764,0.8085629921259919
41,0.00295275590551225,0.700172244094498
42,0.0013962644204362773,0.8786909448818968
43,0.0006981322102184162,0.8924704724409533
44,0.0030557590184950856,0.7091535433070941
45,0.0024205731551000254,0.7501230314960712
46,0.0017081349569679771,0.8507627952755996
47,0.0020142830983339577,0.8232037401574883
48,0.004223127632302037,0.5557332677165413
