,x0,k
0,1.0,9.863611795180354
1,1.0,0.8441011159451703
2,1.0,2.7015912351552527
3,1.0,9.881727763919418
4,1.5573892332553747,1.0718398617835705
5,1.0,0.31169961180106653
6,1.0,2.719147861830834
7,1.9976352817584972,0.8460802308100107
8,1.0,9.881727763919418
9,1.0,0.985937111968553
10,1.0,0.021569553082884333
11,1.0,9.881727763919418
12,1.6477009254510435,0.4651149363549146
13,1.0,1.0109009341395976
14,1.0,2.7191471671193366
15,1.0,9.845488985824138
16,1.0,2.0033096582349077
17,1.0,2.0034834294174333
18,1.0,0.19713874230423586
19,1.0,2.719147861830834
20,1.0,2.7191539300178174
21,1.0,0.3413996132175374
22,1.0,0.33268960426683
23,1.0,1.289913811027225
24,1.0,0.25212326648768185
25,1.0,2.546793704409206
26,1.0,2.716189067597365
27,1.0,9.881727763919418
28,1.0,0.4134026205594053
29,1.2617145395510743,1.8692915819273868
30,1.0,1.2142348220918746
31,1.0,9.863611808630118
32,1.0,2.546793704409206
33,1.0,9.881727763919418
34,1.0,9.881727763919418
35,1.0,1.4401389038109704
36,1.0,2.719147861830834
37,1.0,9.88172776391938
38,1.0,1.9661079576427167
39,1.0,0.16577625229823842
40,1.0,2.0034834294174333
41,1.0318007159477258,16.06309461470353
42,1.0,9.881727763919418
43,1.0,9.721071890348732
44,1.0,0.9990854047332794
45,1.0,1.2205471341918772
46,1.0,9.881727763919418
47,1.0,9.881727763919418
48,1.200034413583475,0.7591977318742497
