,w,b1,b2
0,0.002655677655677653,0.0,0.7675366300366302
1,0.003949175824175824,0.0,0.6378777472527472
2,0.00073260073260073,0.0,0.8906135531135533
3,0.0013965201465201468,0.0,0.8793727106227104
4,0.004349816849816848,0.0,0.5341117216117217
5,0.0023351648351648347,0.0,0.6005494505494505
6,0.002632783882783882,0.0,0.7690018315018312
7,0.006169871794871793,0.0,0.40200320512820525
8,0.0014194139194139213,0.0,0.8779075091575087
9,0.002232142857142851,0.0,0.7790178571428574
10,-0.0006410256410256387,0.0,0.59375
11,0.0013049450549450538,0.0,0.8852335164835163
12,0.004189560439560439,0.0,0.5131181318681318
13,0.001923076923076925,0.0,0.7831730769230767
14,0.0019116300366300333,0.0,0.8307806776556776
15,0.0019574175824175824,0.0,0.8278502747252746
16,0.0028731684981684984,0.0,0.7379922161172159
17,0.001682692307692307,0.0,0.8454326923076921
18,0.000972985347985348,0.0,0.6096039377289376
19,0.0010302197802197783,0.0,0.902815934065934
20,0.0005380036630036646,0.0,0.9499427655677654
21,0.0008012820512820502,0.0,0.6987179487179488
22,0.0012133699633699625,0.0,0.7035943223443222
23,0.0011446886446886458,0.0,0.8642399267399266
24,0.0028731684981684958,0.0,0.5192422161172162
25,0.0005608974358974374,0.0,0.9172275641025639
26,0.0006524725274725286,0.0,0.8801167582417581
27,0.00132783882783883,0.0,0.8837683150183148
28,0.0033310439560439572,0.0,0.5211881868131866
29,-0.0001259157509157522,0.0,0.828125
30,0.0014423076923076907,0.0,0.8451923076923077
31,0.000366300366300365,0.0,0.9453067765567763
32,0.0010989010989010967,0.0,0.8671703296703297
33,0.0,0.0,0.9999999999999998
34,0.00207188644688645,0.0,0.820524267399267
35,0.002506868131868128,0.0,0.7614354395604397
36,0.0023809523809523794,0.0,0.7851190476190476
37,0.0033539377288161164,0.0,0.7072229853583621
38,0.0019230769230769214,0.0,0.8144230769230769
39,0.0021176739925764373,0.0,0.5675938644771885
40,0.0031021062271062282,0.0,0.7233402014652013
41,0.002918956043956044,0.0,0.7038118131868131
42,0.0013736263736263757,0.0,0.8808379120879116
43,0.000572344322344322,0.0,0.8696199633699631
44,0.002953296703296703,0.0,0.717239010989011
45,0.002781593406593407,0.0,0.7126030219780218
46,0.0026785714285714277,0.0,0.7660714285714285
47,0.00204899267399267,0.0,0.821989468864469
48,0.005116758241758241,0.0,0.5006524725274725
