,x0,x1
0,0.0,128.0
1,0.0,63.452788057607826
2,0.0,128.0
3,0.0,128.0
4,0.0,128.0
5,0.0,128.0
6,0.0,128.0
7,0.0,74.13932219361084
8,0.0,128.0
9,2.409638125204408,52.590361685240964
10,80.37333323435544,128.0
11,0.0,39.96108935366181
12,0.0,128.0
13,45.98203328667,128.0
14,0.0,128.0
15,0.0,23.122994662951506
16,0.999999832237838,8.000000101482762
17,0.0,21.089171949471407
18,0.0,128.0
19,117.30555559114865,128.0
20,0.0,17.3300970819685
21,80.8759904894989,128.0
22,0.0,128.0
23,0.0,128.0
24,29.894366131373822,128.0
25,5.30897648015748,5.735918748523711
26,0.0,87.74066804930962
27,0.0,21.782894705583974
28,99.32342003434862,128.0
29,91.25170077805166,128.0
30,0.0,40.32786874971518
31,0.0,128.0
32,0.0,128.0
33,0.0,56.659755085347626
34,0.0,128.0
35,0.0,123.54860289883412
36,0.0,128.0
37,0.0,123.42716721155247
38,0.0,33.0580474614414
39,0.0,128.0
40,0.0,23.628415328206568
41,0.0,39.961089423829776
42,0.0,128.0
43,0.0,20.069930105576592
44,0.0,128.0
45,0.0,93.6607081803035
46,0.0,128.0
47,0.0,18.025641028970394
48,0.0,128.0
